[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [INSTRUMENT_NAME], [BASE_CURRENCY], [CONTRACT_SIZE], [UNDERLYING_INDEX], [UNDERLYING_PRICE], [EXPIRY_DATE], [EXPIRY_UNIX], [EXPIRY_TIME], [DTE], [OPTION_RIGHT], [STRIKE], [BID_SIZE], [BID_PRICE], [ASK_PRICE], [ASK_SIZE], [OPEN_INTEREST], [VOLUME], [DELTA], [GAMMA], [VEGA], [THETA], [RHO], [MARK_IV], [STRIKE_DISTANCE_PCT]
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-38000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46699.620000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 38000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, , 1.000000, 0.000000, 0.000000, 0.000000, 0.130140, 126.640000, 0.186270
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-38000-P, BTC, 1.000000, SYN.BTC-1JAN22, 46711.860000, 2022-01-01, 1641024000, 3.000000, 0.124470, put, 38000.000000, 0.000000, 0.000000, 0.000500, 39.900000, 4.500000, 1.500000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 126.640000, 0.186490
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-40000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46705.970000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 40000.000000, 0.100000, 0.001000, 0.000000, 0.000000, 0.000000, , 1.000000, 0.000000, 0.000000, 0.000000, 0.136990, 126.640000, 0.143550
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-40000-P, BTC, 1.000000, SYN.BTC-1JAN22, 46702.810000, 2022-01-01, 1641024000, 3.000000, 0.124470, put, 40000.000000, 0.000000, 0.000000, 0.000500, 38.400000, 7.200000, 5.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 126.640000, 0.143590
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-41000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46703.580000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 41000.000000, 0.100000, 0.001000, 0.000000, 0.000000, 0.000000, , 1.000000, 0.000000, 0.000000, -0.000030, 0.140410, 125.160000, 0.122100
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-41000-P, BTC, 1.000000, SYN.BTC-1JAN22, 46699.890000, 2022-01-01, 1641024000, 3.000000, 0.124470, put, 41000.000000, 0.000000, 0.000000, 0.000500, 33.800000, 9.300000, 5.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 125.160000, 0.122020
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-42000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46703.470000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 42000.000000, 0.100000, 0.001000, 0.000000, 0.000000, 0.000000, , 1.000000, 0.000000, 0.000000, -0.000100, 0.143840, 106.800000, 0.100740
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-42000-P, BTC, 1.000000, SYN.BTC-1JAN22, 46708.840000, 2022-01-01, 1641024000, 3.000000, 0.124470, put, 42000.000000, 0.000000, 0.000000, 0.000500, 39.000000, 8.300000, 2.000000, 0.000000, 0.000000, 0.000000, -0.000010, 0.000000, 106.800000, 0.100790
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-43000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46702.690000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 43000.000000, 0.100000, 0.001000, 0.000000, 0.000000, 0.000000, , 1.000000, 0.000000, 0.000050, -0.002540, 0.146440, 95.280000, 0.079270
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-43000-P, BTC, 1.000000, SYN.BTC-1JAN22, 46704.680000, 2022-01-01, 1641024000, 3.000000, 0.124470, put, 43000.000000, 0.000000, 0.000000, 0.000500, 39.000000, 29.000000, 5.200000, 0.000000, 0.000000, 0.000060, -0.000220, 0.000000, 95.280000, 0.079280
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-44000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46705.850000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 44000.000000, 0.100000, 0.001000, 0.000000, 0.000000, 0.000000, , 0.999660, 0.000000, 0.010610, -0.504550, 0.150630, 95.070000, 0.057920
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-44000-P, BTC, 1.000000, SYN.BTC-1JAN22, 46699.620000, 2022-01-01, 1641024000, 3.000000, 0.124470, put, 44000.000000, 0.000000, 0.000000, 0.000500, 39.100000, 11.700000, 12.100000, -0.000350, 0.000000, 0.010890, -0.073440, -0.000060, 95.070000, 0.057790
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-45000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46707.380000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 45000.000000, 0.000000, 0.000000, 0.000000, 0.000000, 12.000000, 14.400000, 0.991620, 0.000030, 0.197370, -8.329770, 0.152760, 84.410000, 0.036530
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-45000-P, BTC, 1.000000, SYN.BTC-1JAN22, 46712.070000, 2022-01-01, 1641024000, 3.000000, 0.124470, put, 45000.000000, 0.000000, 0.000000, 0.000500, 15.000000, 69.200000, 89.200000, -0.008090, 0.000030, 0.190770, -1.967460, -0.001290, 84.410000, 0.036620
1641013246, 2022-01-01 00:00, 2022-01-01, 0.000000, BTC-1JAN22-46000-C, BTC, 1.000000, SYN.BTC-1JAN22, 46703.580000, 2022-01-01, 1641024000, 3.000000, 0.124470, call, 46000.000000, 2.000000, 0.015000, 0.016500, 3.000000, 63.000000, 97.500000, 0.876290, 0.000330, 1.766300, -62.989230, 0.137620, 71.320000, 0.015030
